
2017-01-31 02:55:00,	normal, 	0,	 -6.4℃	+0.08[kg/m^2]  -> 2.986[kg/m^2]
2017-01-31 02:58:00,	random, 	1,	 -6.4℃	+0.08[kg/m^2]  -> 3.064[kg/m^2]
2017-01-31 03:01:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.034[kg/m^2]
2017-01-31 03:04:00,	random, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.021[kg/m^2]
2017-01-31 03:07:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.016[kg/m^2]
2017-01-31 03:10:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.014[kg/m^2]
2017-01-31 03:13:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.013[kg/m^2]
2017-01-31 03:16:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.013[kg/m^2]
2017-01-31 03:19:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.013[kg/m^2]
2017-01-31 03:22:00,	normal, 	0,	 -6.4℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:25:00,	normal, 	0,	 -6.4℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:28:00,	random, 	0,	 -6.4℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:31:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:34:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:37:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:40:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:43:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:46:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:49:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:52:00,	random, 	0,	 -6.9℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:55:00,	normal, 	0,	 -6.9℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 03:58:00,	normal, 	0,	 -6.9℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:01:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:04:00,	random, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:07:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:10:00,	normal, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:13:00,	normal, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:16:00,	normal, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:19:00,	normal, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:22:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:25:00,	random, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:28:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:31:00,	normal, 	0,	 -7.3℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:34:00,	normal, 	0,	 -7.3℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:37:00,	normal, 	0,	 -7.3℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:40:00,	random, 	1,	 -7.2℃	+0.00[kg/m^2]  -> 3.012[kg/m^2]
2017-01-31 04:43:00,	random, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.983[kg/m^2]
2017-01-31 04:46:00,	random, 	1,	 -7.2℃	+0.00[kg/m^2]  -> 2.970[kg/m^2]
2017-01-31 04:49:00,	normal, 	0,	 -7.2℃	+0.00[kg/m^2]  -> 2.935[kg/m^2]
