
2017-01-31 02:55:00,	random, 	1,	 -6.4℃	+0.08[kg/m^2]  -> 3.120[kg/m^2]
2017-01-31 02:58:00,	random, 	1,	 -6.4℃	+0.08[kg/m^2]  -> 3.169[kg/m^2]
2017-01-31 03:01:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.126[kg/m^2]
2017-01-31 03:04:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.108[kg/m^2]
2017-01-31 03:07:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.101[kg/m^2]
2017-01-31 03:10:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.098[kg/m^2]
2017-01-31 03:13:00,	random, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.096[kg/m^2]
2017-01-31 03:16:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.096[kg/m^2]
2017-01-31 03:19:00,	normal, 	0,	 -6.5℃	+0.00[kg/m^2]  -> 3.096[kg/m^2]
2017-01-31 03:22:00,	normal, 	0,	 -6.4℃	+0.00[kg/m^2]  -> 3.096[kg/m^2]
2017-01-31 03:25:00,	random, 	1,	 -6.4℃	+0.00[kg/m^2]  -> 3.096[kg/m^2]
2017-01-31 03:28:00,	random, 	1,	 -6.4℃	+0.00[kg/m^2]  -> 3.066[kg/m^2]
2017-01-31 03:31:00,	random, 	1,	 -6.7℃	+0.00[kg/m^2]  -> 3.024[kg/m^2]
2017-01-31 03:34:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 2.976[kg/m^2]
2017-01-31 03:37:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 2.956[kg/m^2]
2017-01-31 03:40:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 2.948[kg/m^2]
2017-01-31 03:43:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 2.944[kg/m^2]
2017-01-31 03:46:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 2.943[kg/m^2]
2017-01-31 03:49:00,	normal, 	0,	 -6.7℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 03:52:00,	normal, 	0,	 -6.9℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 03:55:00,	normal, 	0,	 -6.9℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 03:58:00,	normal, 	0,	 -6.9℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:01:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:04:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:07:00,	normal, 	0,	 -6.8℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:10:00,	random, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
2017-01-31 04:13:00,	normal, 	0,	 -7.6℃	+0.00[kg/m^2]  -> 2.942[kg/m^2]
