date, temperature, precipitation, snow accumulate, switch
----- day 1 -----
2017-01-28 10:59:30, -4.9, 0.004, 0.0422539713577, off
2017-01-28 11:00:00, -4.9, 0.004, 0.0436323053269, off
2017-01-28 11:00:30, -4.8, 0.004, 0.0452603620665, off
2017-01-28 11:01:00, -4.8, 0.004, 0.0470347460592, off
2017-01-28 11:01:30, -4.8, 0.004, 0.0489007866473, off
2017-01-28 11:02:00, -4.8, 0.004, 0.0508242516943, off
2017-01-28 11:02:30, -4.8, 0.004, 0.0527641656442, on
2017-01-28 11:03:00, -4.8, 0.004, 0.0515179137762, on
2017-01-28 11:03:30, -4.8, 0.004, 0.0482766560283, on
2017-01-28 11:04:00, -4.8, 0.004, 0.0437862394175, off
2017-01-28 11:04:30, -4.8, 0.004, 0.0417223863983, off
2017-01-28 11:05:00, -4.8, 0.004, 0.0411779538019, off
2017-01-28 11:05:30, -4.8, 0.004, 0.0415849319796, off
2017-01-28 11:06:00, -4.8, 0.004, 0.0425876603896, off
2017-01-28 11:06:30, -4.8, 0.004, 0.0439634412949, off
2017-01-28 11:07:00, -4.8, 0.004, 0.0455728318781, off
2017-01-28 11:07:30, -4.8, 0.004, 0.0473285195532, off
2017-01-28 11:08:00, -4.8, 0.004, 0.0491758331819, off
2017-01-28 11:08:30, -4.8, 0.004, 0.051080540134, off
2017-01-28 11:09:00, -4.8, 0.004, 0.0530212053934, on
2017-01-28 11:09:30, -4.8, 0.004, 0.0517756982045, on
2017-01-28 11:10:00, -4.8, 0.004, 0.0485351794293, on
2017-01-28 11:10:30, -4.6, 0.004, 0.044045130371, off
2017-01-28 11:11:00, -4.6, 0.004, 0.0419816399583, off
2017-01-28 11:11:30, -4.6, 0.004, 0.0414375646361, off
2017-01-28 11:12:00, -4.6, 0.004, 0.0418448945462, off
2017-01-28 11:12:30, -4.6, 0.004, 0.0428479690466, off
2017-01-28 11:13:00, -4.6, 0.004, 0.0442240903672, off
2017-01-28 11:13:30, -4.6, 0.004, 0.0458338156983, off
2017-01-28 11:14:00, -4.6, 0.004, 0.0475898324863, off
2017-01-28 11:14:30, -4.6, 0.004, 0.0494374696399, off
2017-01-28 11:15:00, -4.6, 0.004, 0.0513424945847, off
2017-01-28 11:15:30, -4.6, 0.004, 0.0532834723652, on
2017-01-28 11:16:00, -4.6, 0.004, 0.0520382722891, on
2017-01-28 11:16:30, -4.6, 0.004, 0.0487980557741, on
2017-01-28 11:17:00, -4.6, 0.004, 0.0443086707716, off
2017-01-28 11:17:30, -4.6, 0.004, 0.0422458403351, off
2017-01-28 11:18:00, -4.6, 0.004, 0.0417024204272, off
2017-01-28 11:18:30, -4.6, 0.004, 0.0421104009163, off
2017-01-28 11:19:00, -4.6, 0.004, 0.043114121016, off
2017-01-28 11:19:30, -4.6, 0.004, 0.0444908828915, off
2017-01-28 11:20:00, -4.6, 0.004, 0.0461012437172, off
