11-22 15:10, 0, 6.8, 75, 660, 9.4, 1011
11-22 15:20, 0.00083, 6.8, 75, 660, 9.5, 1011
11-22 15:30, 0, 6.8, 75, 660, 8.5, 1011
11-22 15:40, 0, 6.8, 75, 660, 7.4, 1011
11-22 15:50, 0, 6.6, 75, 660, 6.8, 1011
11-22 16:0, 0.00083, 6.5, 75, 638, 6.5, 1011
11-22 16:10, 0, 6.8, 75, 638, 7.4, 1011
11-22 16:20, 0.00083, 6.8, 75, 638, 9.1, 1011
11-22 16:30, 0, 6.4, 75, 638, 11.2, 1011
11-22 16:40, 0.00083, 6.0, 75, 638, 9.9, 1011
11-22 16:50, 0.00083, 5.9, 75, 638, 8.3, 1011
11-22 17:0, 0.00167, 6.1, 75, 625, 8.4, 1011
11-22 17:10, 0.00167, 6.1, 75, 625, 8.5, 1011
11-22 17:20, 0.00083, 6.3, 75, 625, 9.5, 1011
11-22 17:30, 0.00083, 5.7, 75, 625, 8.9, 1011
11-22 17:40, 0, 5.8, 75, 625, 9.1, 1011
11-22 17:50, 0, 5.9, 75, 625, 8.7, 1011
11-22 18:0, 0.00083, 6.0, 75, 610, 8.7, 1011
11-22 18:10, 0, 6.0, 75, 610, 7.9, 1011
11-22 18:20, 0.00167, 5.9, 75, 610, 7.6, 1011
11-22 18:30, 0.00167, 6.0, 75, 610, 7.6, 1011
11-22 18:40, 0.00083, 6.1, 75, 610, 6.8, 1011
11-22 18:50, 0.00083, 5.7, 75, 610, 5.3, 1011
11-22 19:0, 0.00167, 5.6, 75, 600, 4.4, 1011
11-22 19:10, 0.00167, 5.4, 75, 600, 3.5, 1011
11-22 19:20, 0.00083, 5.3, 75, 600, 4.0, 1011
11-22 19:30, 0.00083, 5.4, 75, 600, 4.2, 1011
11-22 19:40, 0.00083, 5.2, 75, 600, 3.8, 1011
11-22 19:50, 0, 5.2, 75, 600, 3.4, 1011
11-22 20:0, 0, 5.5, 75, 583, 3.6, 1011
11-22 20:10, 0.00083, 5.7, 75, 583, 4.3, 1011
11-22 20:20, 0, 6.1, 75, 583, 4.8, 1011
11-22 20:30, 0.00083, 6.2, 75, 583, 4.5, 1011
11-22 20:40, 0.00083, 6.6, 75, 583, 4.0, 1011
11-22 20:50, 0.00083, 6.2, 75, 583, 4.0, 1011
11-22 21:0, 0, 6.5, 75, 580, 4.3, 1011
11-22 21:10, 0, 6.4, 75, 580, 4.8, 1011
11-22 21:20, 0.00083, 6.6, 75, 580, 6.3, 1011
11-22 21:30, 0, 6.5, 75, 580, 6.7, 1011
11-22 21:40, 0.00083, 6.5, 75, 580, 5.5, 1011
11-22 21:50, 0, 6.6, 75, 580, 5.9, 1011
11-22 22:0, 0, 6.5, 75, 555, 4.3, 1011
11-22 22:10, 0, 6.3, 75, 555, 3.9, 1011
11-22 22:20, 0, 5.7, 75, 555, 3.4, 1011
11-22 22:30, 0, 5.3, 75, 555, 3.0, 1011
11-22 22:40, 0.00083, 5.7, 75, 555, 3.0, 1011
11-22 22:50, 0, 6.8, 75, 555, 3.9, 1011
11-22 23:0, 0.00083, 6.6, 75, 555, 3.2, 1011
11-22 23:10, 0, 6.5, 75, 555, 2.5, 1011
11-22 23:20, 0.00083, 6.4, 75, 555, 3.8, 1011
11-22 23:30, 0.00083, 6.4, 75, 555, 4.9, 1011
11-22 23:40, 0, 6.4, 75, 555, 5.7, 1011
11-22 23:50, 0.00083, 6.3, 75, 555, 6.7, 1011
