date, temperature, precipitation, snow accumulate, switch
----- day 1 -----
2017-01-28 10:15:00, -4.8, 0.0, 0.0, off
2017-01-28 10:20:00, -4.8, 0.0, 0.0, off
2017-01-28 10:25:00, -4.9, 0.0, 0.0, off
2017-01-28 10:30:00, -4.9, 0.0, 0.0, off
2017-01-28 10:35:00, -4.9, 0.004, 0.0141094996807, off
2017-01-28 10:40:00, -4.9, 0.004, 0.0318120481942, off
2017-01-28 10:45:00, -5.0, 0.004, 0.0509180856128, off
2017-01-28 10:50:00, -5.0, 0.004, 0.0705897904672, on
2017-01-28 10:55:00, -4.9, 0.004, 0.0385685404398, on
2017-01-28 11:00:00, -4.9, 0.004, 0, off
2017-01-28 11:05:00, -4.8, 0.004, 0.0, off
2017-01-28 11:10:00, -4.8, 0.004, 0.00881388206856, off
2017-01-28 11:15:00, -4.6, 0.004, 0.0244873428332, off
2017-01-28 11:20:00, -4.6, 0.004, 0.042877072265, off
2017-01-28 11:25:00, -4.6, 0.004, 0.0623129695021, off
2017-01-28 11:30:00, -4.6, 0.004, 0.0821808399207, on
2017-01-28 11:35:00, -4.4, 0.004, 0.0503367634497, on
2017-01-28 11:40:00, -4.4, 0.004, 0, on
2017-01-28 11:45:00, -4.6, 0.004, 0.0, off
2017-01-28 11:50:00, -4.6, 0.004, 0.0, off
2017-01-28 11:55:00, -4.5, 0.004, 0.00749016925356, off
2017-01-28 12:00:00, -4.5, 0.004, 0.0226002399035, off
2017-01-28 12:05:00, -4.3, 0.004, 0.0407254022444, off
2017-01-28 12:10:00, -4.3, 0.004, 0.0600509206597, off
2017-01-28 12:15:00, -4.3, 0.004, 0.0798740177603, on
2017-01-28 12:20:00, -4.3, 0.004, 0.0479956364517, on
2017-01-28 12:25:00, -4.0, 0.004, 0, off
2017-01-28 12:30:00, -4.0, 0.004, 0.0, off
2017-01-28 12:35:00, -4.1, 0.004, 0.0086400438516, off
2017-01-28 12:40:00, -4.1, 0.004, 0.0241381874305, off
2017-01-28 12:45:00, -4.0, 0.004, 0.0424815458105, off
2017-01-28 12:50:00, -4.0, 0.004, 0.0619054889946, off
2017-01-28 12:55:00, -4.1, 0.004, 0.0817881617924, on
2017-01-28 13:00:00, -4.1, 0.004, 0.0499504124524, on
2017-01-28 13:05:00, -4.2, 0.004, 0, off
2017-01-28 13:10:00, -4.2, 0.004, 0.0, off
2017-01-28 13:15:00, -4.2, 0.004, 0.00879746418243, off
2017-01-28 13:20:00, -4.2, 0.004, 0.0244525744208, off
2017-01-28 13:25:00, -4.2, 0.004, 0.0428851210856, off
2017-01-28 13:30:00, -4.2, 0.004, 0.0623983225317, off
2017-01-28 13:35:00, -4.2, 0.004, 0.0821564793968, on
2017-01-28 13:40:00, -4.2, 0.004, 0.0501941911106, on
2017-01-28 13:45:00, -4.2, 0.004, 0, on
2017-01-28 13:50:00, -4.2, 0.004, 0.0, off
2017-01-28 13:55:00, -4.2, 0.004, 0.0, off
2017-01-28 14:00:00, -4.2, 0.004, 0.00761107267454, off
2017-01-28 14:05:00, -4.3, 0.004, 0.0227430535936, off
2017-01-28 14:10:00, -4.3, 0.004, 0.0408932335957, off
2017-01-28 14:15:00, -4.3, 0.004, 0.0603512250814, off
2017-01-28 14:20:00, -4.3, 0.004, 0.0802887462152, on
2017-01-28 14:25:00, -4.2, 0.004, 0.0485807569893, on
2017-01-28 14:30:00, -4.2, 0.004, 0, off
2017-01-28 14:35:00, -4.5, 0.004, 0.0, off
2017-01-28 14:40:00, -4.5, 0.004, 0.00896111472751, off
2017-01-28 14:45:00, -4.4, 0.004, 0.0246596180828, off
2017-01-28 14:50:00, -4.4, 0.004, 0.0430745958649, off
2017-01-28 14:55:00, -4.4, 0.004, 0.0624419004849, off
2017-01-28 15:00:00, -4.4, 0.004, 0.0822416817527, on
2017-01-28 15:05:00, -4.5, 0.004, 0.0503409234197, on
2017-01-28 15:10:00, -4.5, 0.004, 0, on
2017-01-28 15:15:00, -4.4, 0.004, 0.0, off
2017-01-28 15:20:00, -4.4, 0.004, 0.0, off
2017-01-28 15:25:00, -4.4, 0.004, 0.00768204081424, off
2017-01-28 15:30:00, -4.4, 0.004, 0.0229811044857, off
2017-01-28 15:35:00, -4.4, 0.004, 0.0413276753782, off
2017-01-28 15:40:00, -4.4, 0.004, 0.0606699973074, off
2017-01-28 15:45:00, -4.5, 0.004, 0.0804915498577, on
2017-01-28 15:50:00, -4.5, 0.004, 0.0485989493346, on
2017-01-28 15:55:00, -4.6, 0.004, 0, off
2017-01-28 16:00:00, -4.6, 0.004, 0.0, off
2017-01-28 16:05:00, -4.7, 0.004, 0.00917815658035, off
2017-01-28 16:10:00, -4.7, 0.004, 0.02520728173, off
2017-01-28 16:15:00, -4.6, 0.004, 0.0438726643934, off
2017-01-28 16:20:00, -4.6, 0.004, 0.063445973346, off
2017-01-28 16:25:00, -4.6, 0.004, 0.0834276257888, on
2017-01-28 16:30:00, -4.6, 0.004, 0.0516688475448, on
2017-01-28 16:35:00, -4.6, 0.004, 0, on
2017-01-28 16:40:00, -4.6, 0.004, 0.0, off
2017-01-28 16:45:00, -4.6, 0.004, 0.0, off
2017-01-28 16:50:00, -4.6, 0.004, 0.00793363141701, off
2017-01-28 16:55:00, -4.6, 0.004, 0.02353212356, off
2017-01-28 17:00:00, -4.6, 0.004, 0.0421427481803, off
2017-01-28 17:05:00, -4.6, 0.004, 0.0620818756895, off
2017-01-28 17:10:00, -4.6, 0.004, 0.0820818756895, on
