date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-01 02:43:00, n, 0, 0.0006,   1.7,	0.000,  0.00, 48, +0.00 -> 0.000
2016-12-01 02:46:00, n, 1,   -0.3,   1.7,	0.000,  3.00, 47, +0.00 -> 0.000
2016-12-01 02:49:00, n, 1,   -0.3,   1.7,	0.000,  6.00, 56, +0.00 -> 0.000
2016-12-01 02:52:00, n, 0, 0.0006,   1.6,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-01 02:55:00, n, 0, 0.0006,   1.6,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-01 02:58:00, n, 0, 0.0006,   1.6,	0.000,  0.00, 62, +0.00 -> 0.000
2016-12-01 03:01:00, n, 0, 0.0006,   1.6,	0.000,  0.00, 60, +0.00 -> 0.000
2016-12-01 03:04:00, n, 0, 0.0006,   1.6,	0.000,  0.00, 58, +0.00 -> 0.000
2016-12-01 03:07:00, n, 0, 0.0006,   1.6,	0.000,  0.00, 57, +0.00 -> 0.000
2016-12-01 03:10:00, n, 0, 0.0006,   1.5,	0.003,  0.00, 46, +0.00 -> 0.000
2016-12-01 03:13:00, n, 0, 0.0006,   1.5,	0.003,  0.00, 38, +0.00 -> 0.000
2016-12-01 03:16:00, n, 0, 0.0006,   1.5,	0.003,  0.00, 31, +0.00 -> 0.000
2016-12-01 03:19:00, n, 0, 0.0006,   1.5,	0.003,  0.00, 26, +0.00 -> 0.000
2016-12-01 03:22:00, n, 0, 0.0006,   2.5,	0.003,  0.00, 25, +0.00 -> 0.000
2016-12-01 03:25:00, n, 0, 0.0006,   2.5,	0.003,  0.00, 24, +0.00 -> 0.000
2016-12-01 03:28:00, n, 0, 0.0006,   2.5,	0.003,  0.00, 23, +0.00 -> 0.000
2016-12-01 03:31:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 03:34:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 03:37:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 21, +0.00 -> 0.000
2016-12-01 03:40:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 20, +0.00 -> 0.000
2016-12-01 03:43:00, n, 1,   -0.3,   3.0,	0.003,  3.00, 29, +0.00 -> 0.000
2016-12-01 03:46:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 03:49:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 03:52:00, n, 1,   -0.3,   3.0,	0.003,  3.00, 36, +0.00 -> 0.000
2016-12-01 03:55:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 35, +0.00 -> 0.000
2016-12-01 03:58:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 34, +0.00 -> 0.000
2016-12-01 04:01:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 32, +0.00 -> 0.000
2016-12-01 04:04:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 31, +0.00 -> 0.000
2016-12-01 04:07:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 30, +0.00 -> 0.000
2016-12-01 04:10:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 04:13:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 04:16:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 04:19:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 26, +0.00 -> 0.000
2016-12-01 04:22:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 25, +0.00 -> 0.000
2016-12-01 04:25:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 24, +0.00 -> 0.000
2016-12-01 04:28:00, r, 0, 0.0006,   2.7,	0.003,  0.00, 23, +0.00 -> 0.000
2016-12-01 04:31:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 23, +0.00 -> 0.000
2016-12-01 04:34:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 04:37:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 21, +0.00 -> 0.000
2016-12-01 04:40:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 20, +0.00 -> 0.000
2016-12-01 04:43:00, n, 1,   -0.3,   2.7,	0.003,  3.00, 29, +0.00 -> 0.000
2016-12-01 04:46:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 04:49:00, n, 1,   -0.3,   2.7,	0.003,  3.00, 37, +0.00 -> 0.000
2016-12-01 04:52:00, n, 0, 0.0006,   2.8,	0.003,  0.00, 36, +0.00 -> 0.000
2016-12-01 04:55:00, n, 0, 0.0006,   2.8,	0.003,  0.00, 35, +0.00 -> 0.000
2016-12-01 04:58:00, n, 0, 0.0006,   2.8,	0.003,  0.00, 34, +0.00 -> 0.000
2016-12-01 05:01:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 33, +0.00 -> 0.000
2016-12-01 05:04:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 32, +0.00 -> 0.000
2016-12-01 05:07:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 31, +0.00 -> 0.000
2016-12-01 05:10:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 30, +0.00 -> 0.000
2016-12-01 05:13:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 05:16:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 05:19:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 05:22:00, n, 0, 0.0006,   3.2,	0.003,  0.00, 26, +0.00 -> 0.000
2016-12-01 05:25:00, n, 0, 0.0006,   3.2,	0.003,  0.00, 25, +0.00 -> 0.000
2016-12-01 05:28:00, n, 0, 0.0006,   3.2,	0.003,  0.00, 24, +0.00 -> 0.000
2016-12-01 05:31:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 23, +0.00 -> 0.000
2016-12-01 05:34:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 05:37:00, n, 0, 0.0006,   2.9,	0.003,  0.00, 21, +0.00 -> 0.000
2016-12-01 05:40:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 20, +0.00 -> 0.000
2016-12-01 05:43:00, n, 1,   -0.3,   2.7,	0.003,  3.00, 29, +0.00 -> 0.000
2016-12-01 05:46:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 05:49:00, n, 0, 0.0006,   2.7,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 05:52:00, n, 1,   -0.3,   2.8,	0.003,  3.00, 36, +0.00 -> 0.000
2016-12-01 05:55:00, n, 0, 0.0006,   2.8,	0.003,  0.00, 35, +0.00 -> 0.000
2016-12-01 05:58:00, n, 0, 0.0006,   2.8,	0.003,  0.00, 34, +0.00 -> 0.000
2016-12-01 06:01:00, n, 0, 0.0006,   3.0,	0.003,  0.00, 33, +0.00 -> 0.000
