date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-09 02:40:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 02:43:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 02:46:00, n, 1,   -0.3,  -2.3,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 02:49:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 02:52:00, r, 0,    0.3,  -2.2,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 02:55:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 02:58:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 03:01:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 03:04:00, n, 1,   -0.3,  -2.0,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 03:07:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 03:10:00, n, 0,    0.3,  -2.1,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 03:13:00, n, 0,    0.3,  -2.1,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 03:16:00, n, 0,    0.3,  -2.1,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 03:19:00, n, 1,   -0.3,  -2.1,	0.000,  3.00, 63, +0.00 -> 0.000
2016-12-09 03:22:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 03:25:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 03:28:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 03:31:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 03:34:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-09 03:37:00, n, 1,   -0.3,  -2.2,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 03:40:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 03:43:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 03:46:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 03:49:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 03:52:00, n, 1,   -0.3,  -2.3,	0.000,  3.00, 64, +0.00 -> 0.000
2016-12-09 03:55:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 03:58:00, n, 0,    0.3,  -2.3,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 04:01:00, n, 0,    0.3,  -2.2,	0.000,  0.00, 67, +0.00 -> 0.000
